KEYPOINT:0.415264s HTTP_POST:0.529769s WS_SEND:0.544021s WS_RECE:0.546153s 54:0.546855s
KEYPOINT:0.841350s HTTP_POST:0.912965s WS_SEND:0.932462s WS_RECE:0.935553s 55:0.936639s
KEYPOINT:0.293264s HTTP_POST:0.361790s WS_SEND:0.370418s WS_RECE:0.373317s 56:0.374057s
KEYPOINT:0.663916s HTTP_POST:0.735649s WS_SEND:0.750453s WS_RECE:0.752605s 57:0.753419s
KEYPOINT:0.085268s HTTP_POST:0.149445s WS_SEND:0.157774s WS_RECE:0.159844s 58:0.160649s
KEYPOINT:0.445446s HTTP_POST:0.551304s WS_SEND:0.569847s WS_RECE:0.573147s 59:0.574224s
KEYPOINT:0.936527s HTTP_POST:0.001466s WS_SEND:0.009773s WS_RECE:0.013240s 60:0.013934s
KEYPOINT:0.316220s HTTP_POST:0.381858s WS_SEND:0.393205s WS_RECE:0.395224s 61:0.395989s
KEYPOINT:0.738772s HTTP_POST:0.801653s WS_SEND:0.810409s WS_RECE:0.812852s 62:0.813593s
KEYPOINT:0.111485s HTTP_POST:0.182602s WS_SEND:0.191239s WS_RECE:0.192994s 63:0.193729s
KEYPOINT:0.531668s HTTP_POST:0.597867s WS_SEND:0.606432s WS_RECE:0.609549s 64:0.610354s
KEYPOINT:0.916303s HTTP_POST:0.985764s WS_SEND:0.998258s WS_RECE:0.000597s 65:0.001446s
KEYPOINT:0.380050s HTTP_POST:0.490658s WS_SEND:0.509688s WS_RECE:0.512722s 66:0.513817s
KEYPOINT:0.917964s HTTP_POST:0.989448s WS_SEND:0.998281s WS_RECE:0.001499s 67:0.002184s
KEYPOINT:0.291610s HTTP_POST:0.357674s WS_SEND:0.369155s WS_RECE:0.371601s 68:0.372376s
KEYPOINT:0.696098s HTTP_POST:0.797598s WS_SEND:0.806472s WS_RECE:0.809838s 69:0.811019s
KEYPOINT:0.163516s HTTP_POST:0.233635s WS_SEND:0.242435s WS_RECE:0.244790s 70:0.245485s
KEYPOINT:0.535151s HTTP_POST:0.642880s WS_SEND:0.661536s WS_RECE:0.664816s 71:0.665912s
KEYPOINT:0.061009s HTTP_POST:0.129780s WS_SEND:0.139925s WS_RECE:0.143695s 72:0.144743s
KEYPOINT:0.503276s HTTP_POST:0.569560s WS_SEND:0.578051s WS_RECE:0.581246s 73:0.581938s
KEYPOINT:0.872174s HTTP_POST:0.941897s WS_SEND:0.953040s WS_RECE:0.955751s 74:0.956518s
