KEYPOINT:0.304122s HTTP_POST:0.454197s WS_SEND:0.805403s WS_RECE:0.847916s 0:0.849664s
KEYPOINT:0.247210s HTTP_POST:0.317470s WS_SEND:0.325938s WS_RECE:0.328910s 1:0.329740s
KEYPOINT:0.681044s HTTP_POST:0.749411s WS_SEND:0.757916s WS_RECE:0.761138s 2:0.761866s
KEYPOINT:0.110942s HTTP_POST:0.213830s WS_SEND:0.222316s WS_RECE:0.224039s 3:0.224794s
KEYPOINT:0.559410s HTTP_POST:0.625409s WS_SEND:0.634604s WS_RECE:0.636341s 4:0.637813s
KEYPOINT:0.993704s HTTP_POST:0.057350s WS_SEND:0.065956s WS_RECE:0.068308s 5:0.069031s
KEYPOINT:0.369919s HTTP_POST:0.477560s WS_SEND:0.488647s WS_RECE:0.492108s 6:0.493030s
KEYPOINT:0.859940s HTTP_POST:0.925420s WS_SEND:0.933881s WS_RECE:0.936327s 7:0.937020s
KEYPOINT:0.249656s HTTP_POST:0.326433s WS_SEND:0.342685s WS_RECE:0.344766s 8:0.345532s
KEYPOINT:0.719225s HTTP_POST:0.785520s WS_SEND:0.794080s WS_RECE:0.795948s 9:0.796695s
KEYPOINT:0.101932s HTTP_POST:0.170610s WS_SEND:0.185164s WS_RECE:0.188535s 10:0.189589s
KEYPOINT:0.550273s HTTP_POST:0.617359s WS_SEND:0.626017s WS_RECE:0.629395s 11:0.630099s
KEYPOINT:0.975008s HTTP_POST:0.045994s WS_SEND:0.054555s WS_RECE:0.056739s 12:0.057433s
KEYPOINT:0.387938s HTTP_POST:0.453274s WS_SEND:0.462205s WS_RECE:0.463937s 13:0.464626s
KEYPOINT:0.763270s HTTP_POST:0.829507s WS_SEND:0.840086s WS_RECE:0.843548s 14:0.844339s
KEYPOINT:0.217933s HTTP_POST:0.285614s WS_SEND:0.294136s WS_RECE:0.296883s 15:0.297664s
KEYPOINT:0.652782s HTTP_POST:0.721567s WS_SEND:0.729858s WS_RECE:0.733129s 16:0.733850s
KEYPOINT:0.036741s HTTP_POST:0.106292s WS_SEND:0.124349s WS_RECE:0.127372s 17:0.129327s
KEYPOINT:0.486196s HTTP_POST:0.553394s WS_SEND:0.562255s WS_RECE:0.564012s 18:0.564700s
KEYPOINT:0.921040s HTTP_POST:0.985529s WS_SEND:0.994150s WS_RECE:0.996043s 19:0.996839s
KEYPOINT:0.297800s HTTP_POST:0.369707s WS_SEND:0.381045s WS_RECE:0.383073s 20:0.384288s
KEYPOINT:0.773106s HTTP_POST:0.841424s WS_SEND:0.849853s WS_RECE:0.852765s 21:0.853505s
KEYPOINT:0.153049s HTTP_POST:0.226595s WS_SEND:0.238120s WS_RECE:0.241044s 22:0.241826s
KEYPOINT:0.614754s HTTP_POST:0.685364s WS_SEND:0.693821s WS_RECE:0.695650s 23:0.696354s
KEYPOINT:0.001526s HTTP_POST:0.065474s WS_SEND:0.076093s WS_RECE:0.078631s 24:0.079409s
KEYPOINT:0.453613s HTTP_POST:0.521945s WS_SEND:0.530348s WS_RECE:0.538115s 25:0.538968s
KEYPOINT:0.902740s HTTP_POST:0.969694s WS_SEND:0.978258s WS_RECE:0.980038s 26:0.986561s
KEYPOINT:0.347640s HTTP_POST:0.413796s WS_SEND:0.422240s WS_RECE:0.423930s 27:0.424951s
KEYPOINT:0.731974s HTTP_POST:0.797591s WS_SEND:0.808326s WS_RECE:0.810623s 28:0.811441s
KEYPOINT:0.174609s HTTP_POST:0.241337s WS_SEND:0.249684s WS_RECE:0.252751s 29:0.254101s
KEYPOINT:0.553492s HTTP_POST:0.621644s WS_SEND:0.637699s WS_RECE:0.641634s 30:0.642420s
KEYPOINT:0.010031s HTTP_POST:0.077468s WS_SEND:0.091211s WS_RECE:0.092972s 31:0.094344s
KEYPOINT:0.449930s HTTP_POST:0.525580s WS_SEND:0.539068s WS_RECE:0.542041s 32:0.542865s
KEYPOINT:0.841129s HTTP_POST:0.906339s WS_SEND:0.916763s WS_RECE:0.919397s 33:0.920258s
KEYPOINT:0.294290s HTTP_POST:0.357304s WS_SEND:0.365741s WS_RECE:0.368150s 34:0.369526s
KEYPOINT:0.731661s HTTP_POST:0.806066s WS_SEND:0.814554s WS_RECE:0.816754s 35:0.817886s
KEYPOINT:0.117054s HTTP_POST:0.181419s WS_SEND:0.191865s WS_RECE:0.194537s 36:0.195310s
KEYPOINT:0.571546s HTTP_POST:0.637952s WS_SEND:0.646613s WS_RECE:0.648570s 37:0.649282s
KEYPOINT:0.953991s HTTP_POST:0.022151s WS_SEND:0.033427s WS_RECE:0.036066s 38:0.036901s
KEYPOINT:0.401589s HTTP_POST:0.469700s WS_SEND:0.478198s WS_RECE:0.480451s 39:0.481150s
KEYPOINT:0.853474s HTTP_POST:0.917381s WS_SEND:0.925957s WS_RECE:0.929043s 40:0.929821s
KEYPOINT:0.235791s HTTP_POST:0.301509s WS_SEND:0.312417s WS_RECE:0.314551s 41:0.315347s
KEYPOINT:0.699089s HTTP_POST:0.765338s WS_SEND:0.773559s WS_RECE:0.775331s 42:0.776039s
KEYPOINT:0.082810s HTTP_POST:0.189953s WS_SEND:0.200782s WS_RECE:0.203032s 43:0.203805s
KEYPOINT:0.567978s HTTP_POST:0.637781s WS_SEND:0.646441s WS_RECE:0.649783s 44:0.650533s
KEYPOINT:0.962854s HTTP_POST:0.029614s WS_SEND:0.040154s WS_RECE:0.042769s 45:0.043569s
KEYPOINT:0.407988s HTTP_POST:0.473857s WS_SEND:0.482260s WS_RECE:0.484257s 46:0.484967s
KEYPOINT:0.845312s HTTP_POST:0.909330s WS_SEND:0.917763s WS_RECE:0.920374s 47:0.921199s
KEYPOINT:0.219913s HTTP_POST:0.285589s WS_SEND:0.295901s WS_RECE:0.298103s 48:0.298967s
KEYPOINT:0.665318s HTTP_POST:0.765529s WS_SEND:0.774303s WS_RECE:0.776252s 49:0.776962s
KEYPOINT:0.133382s HTTP_POST:0.197335s WS_SEND:0.205777s WS_RECE:0.207885s 50:0.208605s
KEYPOINT:0.510297s HTTP_POST:0.617819s WS_SEND:0.628966s WS_RECE:0.636103s 51:0.636896s
KEYPOINT:0.007760s HTTP_POST:0.077501s WS_SEND:0.090941s WS_RECE:0.092657s 52:0.093356s
KEYPOINT:0.436086s HTTP_POST:0.501413s WS_SEND:0.509722s WS_RECE:0.513173s 53:0.513877s
KEYPOINT:0.871020s HTTP_POST:0.977532s WS_SEND:0.990962s WS_RECE:0.992941s 54:0.994133s
KEYPOINT:0.294123s HTTP_POST:0.361543s WS_SEND:0.372686s WS_RECE:0.374749s 55:0.375645s
KEYPOINT:0.774234s HTTP_POST:0.845674s WS_SEND:0.854157s WS_RECE:0.856310s 56:0.857720s
KEYPOINT:0.167372s HTTP_POST:0.233648s WS_SEND:0.244345s WS_RECE:0.247665s 57:0.249323s
KEYPOINT:0.620041s HTTP_POST:0.721463s WS_SEND:0.730731s WS_RECE:0.733732s 58:0.734823s
KEYPOINT:0.131004s HTTP_POST:0.237055s WS_SEND:0.245635s WS_RECE:0.247458s 59:0.248169s
KEYPOINT:0.584838s HTTP_POST:0.653647s WS_SEND:0.662171s WS_RECE:0.664511s 60:0.665705s
KEYPOINT:0.065572s HTTP_POST:0.136332s WS_SEND:0.145313s WS_RECE:0.147324s 61:0.148112s
KEYPOINT:0.457860s HTTP_POST:0.526024s WS_SEND:0.536968s WS_RECE:0.539418s 62:0.540611s
KEYPOINT:0.917705s HTTP_POST:0.985343s WS_SEND:0.994014s WS_RECE:0.997361s 63:0.998044s
KEYPOINT:0.315233s HTTP_POST:0.386033s WS_SEND:0.396977s WS_RECE:0.399120s 64:0.399903s
KEYPOINT:0.776523s HTTP_POST:0.845364s WS_SEND:0.853975s WS_RECE:0.856478s 65:0.857183s
KEYPOINT:0.232957s HTTP_POST:0.301375s WS_SEND:0.309854s WS_RECE:0.312750s 66:0.313435s
KEYPOINT:0.621205s HTTP_POST:0.690177s WS_SEND:0.704889s WS_RECE:0.707041s 67:0.707825s
KEYPOINT:0.065567s HTTP_POST:0.136329s WS_SEND:0.145402s WS_RECE:0.147295s 68:0.148015s
KEYPOINT:0.449524s HTTP_POST:0.521957s WS_SEND:0.533200s WS_RECE:0.536044s 69:0.537033s
KEYPOINT:0.915573s HTTP_POST:0.981536s WS_SEND:0.990399s WS_RECE:0.993219s 70:0.994087s
KEYPOINT:0.365584s HTTP_POST:0.433535s WS_SEND:0.442056s WS_RECE:0.444133s 71:0.444839s
KEYPOINT:0.746704s HTTP_POST:0.861580s WS_SEND:0.872674s WS_RECE:0.874863s 72:0.876396s
KEYPOINT:0.242312s HTTP_POST:0.342131s WS_SEND:0.350767s WS_RECE:0.363302s 73:0.364657s
KEYPOINT:0.745950s HTTP_POST:0.849352s WS_SEND:0.858346s WS_RECE:0.860433s 74:0.861142s
KEYPOINT:0.223282s HTTP_POST:0.294095s WS_SEND:0.302601s WS_RECE:0.305018s 75:0.306328s
KEYPOINT:0.601727s HTTP_POST:0.670506s WS_SEND:0.687408s WS_RECE:0.689645s 76:0.690837s
KEYPOINT:0.075270s HTTP_POST:0.141460s WS_SEND:0.149844s WS_RECE:0.152330s 77:0.153052s
KEYPOINT:0.449905s HTTP_POST:0.521630s WS_SEND:0.532595s WS_RECE:0.534736s 78:0.535565s
KEYPOINT:0.916058s HTTP_POST:0.989766s WS_SEND:0.998502s WS_RECE:0.000503s 79:0.001870s
KEYPOINT:0.327484s HTTP_POST:0.401438s WS_SEND:0.410294s WS_RECE:0.412285s 80:0.413680s
KEYPOINT:0.787158s HTTP_POST:0.853664s WS_SEND:0.862232s WS_RECE:0.864317s 81:0.865048s
