KEYPOINT:0.096530s HTTP_POST:0.573012s WS_SEND:0.798835s WS_RECE:0.855049s 0:0.857102s
KEYPOINT:0.292154s HTTP_POST:0.359742s WS_SEND:0.368220s WS_RECE:0.413350s 1:0.414704s
KEYPOINT:0.924243s HTTP_POST:0.032872s WS_SEND:0.047666s WS_RECE:0.049784s 2:0.050779s
KEYPOINT:0.487959s HTTP_POST:0.559754s WS_SEND:0.568215s WS_RECE:0.570333s 3:0.571135s
KEYPOINT:0.309462s HTTP_POST:0.384276s WS_SEND:0.396732s WS_RECE:0.399075s 4:0.399882s
KEYPOINT:0.815904s HTTP_POST:0.888090s WS_SEND:0.896920s WS_RECE:0.898752s 5:0.899432s
KEYPOINT:0.260288s HTTP_POST:0.331737s WS_SEND:0.339926s WS_RECE:0.341901s 6:0.342602s
KEYPOINT:0.721901s HTTP_POST:0.799615s WS_SEND:0.807990s WS_RECE:0.809596s 7:0.810521s
KEYPOINT:0.230179s HTTP_POST:0.303806s WS_SEND:0.312120s WS_RECE:0.313925s 8:0.314659s
KEYPOINT:0.651461s HTTP_POST:0.719886s WS_SEND:0.730787s WS_RECE:0.733321s 9:0.734400s
KEYPOINT:0.112555s HTTP_POST:0.180914s WS_SEND:0.199989s WS_RECE:0.203080s 10:0.204174s
KEYPOINT:0.613093s HTTP_POST:0.679735s WS_SEND:0.688344s WS_RECE:0.690300s 11:0.691024s
KEYPOINT:0.089847s HTTP_POST:0.159956s WS_SEND:0.168735s WS_RECE:0.170764s 12:0.171452s
KEYPOINT:0.558282s HTTP_POST:0.628009s WS_SEND:0.636375s WS_RECE:0.638327s 13:0.639138s
KEYPOINT:0.036320s HTTP_POST:0.111908s WS_SEND:0.120470s WS_RECE:0.122308s 14:0.122999s
KEYPOINT:0.443616s HTTP_POST:0.520037s WS_SEND:0.531037s WS_RECE:0.533169s 15:0.534067s
KEYPOINT:0.925511s HTTP_POST:0.996080s WS_SEND:0.004599s WS_RECE:0.006861s 16:0.007616s
KEYPOINT:0.350732s HTTP_POST:0.419897s WS_SEND:0.430830s WS_RECE:0.433017s 17:0.433796s
KEYPOINT:0.804888s HTTP_POST:0.871663s WS_SEND:0.879928s WS_RECE:0.882500s 18:0.883237s
KEYPOINT:0.204160s HTTP_POST:0.275945s WS_SEND:0.286991s WS_RECE:0.290178s 19:0.291007s
KEYPOINT:0.669854s HTTP_POST:0.740043s WS_SEND:0.753729s WS_RECE:0.756277s 20:0.756988s
KEYPOINT:0.147535s HTTP_POST:0.223678s WS_SEND:0.231966s WS_RECE:0.234106s 21:0.234853s
KEYPOINT:0.764402s HTTP_POST:0.831836s WS_SEND:0.842904s WS_RECE:0.845365s 22:0.846287s
KEYPOINT:0.280506s HTTP_POST:0.351949s WS_SEND:0.363120s WS_RECE:0.365066s 23:0.365841s
