KEYPOINT:0.140707s HTTP_POST:0.217556s WS_SEND:0.662455s WS_RECE:0.698812s 0:0.700791s
KEYPOINT:0.071208s HTTP_POST:0.140671s WS_SEND:0.149775s WS_RECE:0.152171s 1:0.153748s
KEYPOINT:0.438823s HTTP_POST:0.505408s WS_SEND:0.518082s WS_RECE:0.525470s 2:0.526879s
KEYPOINT:0.896613s HTTP_POST:0.964736s WS_SEND:0.973700s WS_RECE:0.976632s 3:0.977399s
KEYPOINT:0.309001s HTTP_POST:0.408339s WS_SEND:0.416732s WS_RECE:0.419149s 4:0.419898s
KEYPOINT:0.708973s HTTP_POST:0.785837s WS_SEND:0.804261s WS_RECE:0.807837s 5:0.808978s
KEYPOINT:0.159363s HTTP_POST:0.228504s WS_SEND:0.242080s WS_RECE:0.244323s 6:0.245098s
KEYPOINT:0.528747s HTTP_POST:0.592836s WS_SEND:0.601145s WS_RECE:0.602858s 7:0.603538s
KEYPOINT:0.889579s HTTP_POST:0.952911s WS_SEND:0.963853s WS_RECE:0.965606s 8:0.966367s
KEYPOINT:0.316378s HTTP_POST:0.384480s WS_SEND:0.393328s WS_RECE:0.396819s 9:0.397607s
KEYPOINT:0.681873s HTTP_POST:0.784570s WS_SEND:0.795529s WS_RECE:0.797855s 10:0.798640s
KEYPOINT:0.161589s HTTP_POST:0.244348s WS_SEND:0.252634s WS_RECE:0.255633s 11:0.256424s
KEYPOINT:0.544941s HTTP_POST:0.612712s WS_SEND:0.623642s WS_RECE:0.626052s 12:0.626831s
KEYPOINT:0.996078s HTTP_POST:0.064503s WS_SEND:0.073104s WS_RECE:0.075979s 13:0.076821s
KEYPOINT:0.409287s HTTP_POST:0.476594s WS_SEND:0.485071s WS_RECE:0.487744s 14:0.488451s
KEYPOINT:0.783903s HTTP_POST:0.849516s WS_SEND:0.866401s WS_RECE:0.868920s 15:0.869690s
KEYPOINT:0.237916s HTTP_POST:0.304231s WS_SEND:0.312946s WS_RECE:0.315770s 16:0.316470s
KEYPOINT:0.666213s HTTP_POST:0.736530s WS_SEND:0.745460s WS_RECE:0.747299s 17:0.748024s
KEYPOINT:0.031825s HTTP_POST:0.097346s WS_SEND:0.116239s WS_RECE:0.219767s 18:0.220884s
KEYPOINT:0.583798s HTTP_POST:0.652294s WS_SEND:0.660930s WS_RECE:0.663078s 19:0.663763s
KEYPOINT:0.954707s HTTP_POST:0.020541s WS_SEND:0.028924s WS_RECE:0.030876s 20:0.031561s
